,target
12982,24714
1824,26535
9485,19221
12236,19290
10836,15434
8450,19352
3232,25600
1918,26485
7535,20580
1569,26557
9307,19683
347,28282
1242,26241
10676,16176
9997,18375
10166,17728
9895,18302
4738,28958
6180,23575
5354,27236
10703,16240
11752,17998
12614,18882
8355,19526
8845,20615
11396,19259
5848,24801
11184,16832
5743,24820
11979,17090
4746,28375
9545,18981
1222,24834
12409,19675
2134,28892
7925,17797
9407,19119
5483,26217
509,30179
9410,19240
7319,21064
748,27201
1259,26180
4718,28468
1888,26341
711,27653
11814,17804
12301,22978
7726,19236
11929,16917
6152,23674
3329,24659
3293,24615
9525,19000
11784,17641
4936,28499
11731,17566
10280,17366
104,27197
1794,26682
2386,25962
5224,29225
6739,20628
1658,26777
212,28400
6728,20410
4419,29295
12696,20255
1359,26585
334,29033
7820,18873
3110,25166
792,26830
233,28334
10394,17732
1064,28778
209,28216
10293,18036
6909,21609
7983,17865
4498,30467
12527,20129
2413,26348
7051,20934
6178,23792
12918,24085
7770,19781
871,27442
1263,26286
1618,26703
4345,29502
2414,26459
6492,24227
1220,24889
4843,28772
1765,26544
8740,21118
7131,20100
11993,17200
2001,27788
7740,20126
4581,28818
6613,24696
1485,25937
3582,24715
2523,21683
11815,17745
12258,20566
3078,24290
1305,25629
4782,28579
8615,22010
4381,28771
10286,17600
6713,21084
11847,17541
2165,28249
617,29467
13068,23340
6503,24314
5032,28852
7173,20175
9212,19980
8180,16331
9573,18732
4770,28448
13200,22165
2004,27973
12877,22876
3047,24610
10388,17965
13248,22536
10158,18217
6676,22556
8206,17869
3095,24209
6000,25190
3285,25117
6684,22299
12488,19772
12046,17417
1313,25457
11457,18904
9813,18535
13116,20188
2903,22969
6480,24661
3333,24770
3053,24513
9980,18015
7417,21385
8823,19741
2269,27533
10097,17336
5826,24077
8959,19339
10809,15704
9471,19926
11469,18621
8803,20010
8999,19784
4707,28385
12002,17163
2114,28942
6389,23683
7518,20663
4982,27935
2602,23196
11562,18287
4607,29437
9404,19193
12698,20272
4756,29020
12107,17895
5614,25344
520,30152
9417,19436
5833,23854
8478,19788
9507,18837
1092,28549
12320,20706
7233,21549
8824,19808
3771,24575
1109,28385
4655,28934
1038,28622
5418,26122
20,25657
6942,21311
5397,26244
934,28479
5980,25029
12174,17276
12721,20820
1726,27758
4490,30217
9257,19579
7699,19710
1737,27907
7087,19390
561,30157
10345,17583
12426,19931
13094,22772
1162,25887
8545,21450
9772,18991
8665,22090
1527,25974
6292,22983
2930,23669
58,26696
13394,23287
6706,21630
11491,18185
4483,30823
2291,27873
5642,26023
11560,18314
6697,22220
9850,17630
10391,17996
1649,26769
13291,23052
12787,22307
2724,24289
9538,18888
9681,19489
7077,19364
11487,18376
12800,22645
6779,21073
5312,27602
11702,18004
7593,19689
9287,19768
3870,25698
5612,25326
12810,22782
2907,22820
13348,23758
3538,24417
915,28158
4415,29266
9249,19667
11194,16919
1817,26798
13155,21450
3949,26343
337,28922
2072,28367
11667,18424
9470,19896
11097,16595
3513,24675
2815,24254
6148,23732
6753,19770
7379,22033
11468,18675
766,27088
3782,24675
6335,23140
1144,26865
12679,19883
2510,22200
8241,18145
2273,27665
7503,21045
6802,21375
7711,19627
4864,28940
5950,25541
11805,18027
5496,26401
4924,28379
4532,29201
7145,20684
1672,26756
7506,20896
8790,20484
4055,26386
5970,25044
1808,26942
2275,27787
3761,24555
9620,19399
9511,19026
8878,20067
6518,23313
2045,28606
8364,19306
9289,19587
1295,25589
10711,16161
4687,27945
3952,26349
5528,26122
4317,29866
9034,20459
444,28540
858,26939
4439,29912
841,27073
5406,25272
6433,24229
7364,22196
10393,17749
994,28103
12887,23020
13329,23235
1554,25743
1973,27619
7050,20766
12691,20104
8537,21503
12499,19873
2513,22629
2835,23450
4700,28256
2445,25541
2233,27093
3050,24566
9139,19800
400,29383
6037,24962
12124,17502
13336,23619
1023,28476
3298,24510
5278,27878
11448,19127
13156,21455
13014,23680
10903,16192
