,target
10652,16632
12078,17864
11066,16615
12431,19848
5180,28633
10121,17579
5792,24358
11126,16523
11401,19096
11918,17306
4702,28198
11258,16355
1222,24834
5707,25878
2134,28892
7856,18847
6520,23545
5430,25716
509,30179
9364,18195
7254,21901
748,27201
1259,26180
1888,26341
711,27653
11755,18021
12240,19370
6339,23137
8297,17423
6096,24989
3329,24659
3293,24615
7054,20824
10566,16547
4889,29034
11673,18305
11917,17377
104,27197
1794,26682
2386,25962
5173,28444
6679,22575
1658,26777
212,28400
13226,21922
4419,29295
12635,19475
1359,26585
334,29033
6443,24144
3110,25166
792,26830
233,28334
11073,16757
1064,28778
209,28216
10244,17431
6847,21728
11580,18427
4498,30467
4807,29033
2413,26348
6987,20500
11844,17463
10355,17927
6087,25308
871,27442
1263,26286
1618,26703
4345,29502
2414,26459
8724,21106
1220,24889
1765,26544
4962,27976
7067,19816
11932,16939
2001,27788
7672,19767
4581,28818
5363,27238
1485,25937
3582,24715
2523,21683
11756,17961
9260,19552
3078,24290
1305,25629
13126,20643
4381,28771
10237,17074
8494,19737
9523,19137
2165,28249
617,29467
13006,24065
12254,20675
4984,28034
8887,19865
9166,19752
8108,15441
7798,19176
4770,28448
13138,20970
2004,27973
12816,22927
3047,24610
6266,23587
11874,17046
12266,21087
13106,20050
9055,20430
3095,24209
11799,18165.1
3285,25117
6624,24100
12827,23007
10903,16192
1313,25457
5640,25983
5733,24655
12362,19597
2903,22969
6422,24430
3333,24770
3053,24513
9933,18719
9796,19089
8779,20546
2269,27533
6475,24824
5770,24454
10572,16705
9707,19950
9425,19387
5120,28679
8759,20895
6418,24336
4707,28385
11941,16731
2114,28942
5862,25268
7453,20836
6836,21490
2602,23196
11504,18025
4607,29437
12937,23617
7886,18514
4756,29020
5061,29053
7474,20496
520,30152
9371,18751
9679,19292
12303,23146
10490,16508
1092,28549
9718,20256
7168,20237
13027,23344
3771,24575
1109,28385
4655,28934
1038,28622
8871,20344
20,25657
6880,22348
5344,28006
934,28479
9720,20269
12113,17607
12660,20278
1726,27758
4490,30217
9211,19984
7631,19952
1737,27907
5181,28565
561,30157
5756,24175
12365,19661
13354,23502
1162,25887
7702,19644
8965,19663
6064,25373
1527,25974
6462,24885
2930,23669
58,26696
8077,16256
7590,19810
11433,19498
4483,30823
2291,27873
6084,25267
11500,18318
8617,22087
10696,16176
12483,19755
1649,26769
13228,21853
8221,18462
2724,24289
13052,23392
7971,17872
7013,19761
7379,22033
12739,20918
6717,20899
12591,19370
7425,21519
13198,21999
12632,19402
3870,25698
8672,21602
12749,21401
2907,22820
10214,17069
3538,24417
915,28158
4415,29266
9928,18802
9063,20567
1817,26798
13093,22775
3949,26343
337,28922
2072,28367
11609,17998
10968,16479
9413,19391
3513,24675
2815,24254
6092,24925
6693,22425
13137,20727
6950,21501
766,27088
3782,24675
10626,17107
1144,26865
10946,16622
2510,22200
6926,21387
2273,27665
7438,21661
6740,20561
11880,17128
4864,28940
6567,24956
5382,27597
10071,17667
4924,28379
4532,29201
5144,28830
1672,26756
7441,21123
12453,20194
4055,26386
5914,26019
1808,26942
2275,27787
3761,24555
6247,23514
11325,17598
8834,20583
5221,29219
2045,28606
11292,17139
10107,17330
1295,25589
7100,19768
4687,27945
3952,26349
5282,27932
4317,29866
8990,19603
444,28540
858,26939
4439,29912
841,27073
13285,23403
7136,20133
12541,20046
994,28103
5822,23900
7937,17572
1554,25743
1973,27619
13380,23328
12630,19306
8493,19846
7762,19415
2513,22629
