,time,Open,High,Low,Close,Volume,stock_code,ric_code,uuid,last_modified_date,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus
897,2019-06-21 11:00:00+08:00,28441,28455,28382,28422,3285834,HSI,^HSI,8061033119558663355,2025-06-03 12:25:11.232890+08:00,庚午,甲辰,己亥,乙丑,庚午,甲寅,己未,乙亥,庚午,己卯,壬午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
898,2019-06-21 13:00:00+08:00,28422,28422,28298,28403,5080144,HSI,^HSI,1378561072214915217,2025-06-03 12:25:11.232890+08:00,辛未,甲辰,己亥,丙寅,庚午,甲寅,己未,乙亥,辛未,甲卯,壬午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
899,2019-06-21 15:00:00+08:00,28404,28453,28352,28422,7674262,HSI,^HSI,17912828487806107580,2025-06-03 12:25:11.232890+08:00,壬申,甲辰,己亥,丁卯,庚午,甲寅,己未,乙亥,壬申,甲辰,壬午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
900,2019-06-21 17:00:00+08:00,28437,28467,28367,28405,8391201,HSI,^HSI,13660941498076241098,2025-06-03 12:25:11.232890+08:00,癸酉,甲辰,己亥,戊辰,庚午,甲寅,己未,乙亥,癸酉,甲辰,壬午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
901,2019-06-21 19:00:00+08:00,28407,28430,28373,28410,4307124,HSI,^HSI,17556634249541019506,2025-06-03 12:25:11.232890+08:00,甲戌,甲辰,己亥,己巳,庚午,甲寅,己未,乙亥,甲戌,甲巳,壬午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
902,2019-06-21 21:00:00+08:00,28406,28437,28363,28424,9457399,HSI,^HSI,560501522827939220,2025-06-03 12:25:11.232890+08:00,乙亥,甲辰,己亥,庚午,庚午,甲寅,己未,乙亥,乙亥,甲巳,壬午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
903,2019-06-21 23:00:00+08:00,28422,28490,28377,28411,3279827,HSI,^HSI,4832810434833923238,2025-06-03 12:25:11.232890+08:00,戊子,庚寅,乙酉,癸未,庚午,甲寅,己未,乙亥,戊子,乙丑,丁酉,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
904,2019-06-22 01:00:00+08:00,28409,28425,28393,28423,5606290,HSI,^HSI,77019227239557491,2025-06-03 12:25:11.232890+08:00,丁丑,庚寅,乙酉,壬申,乙酉,甲寅,己未,庚寅,丁丑,庚丑,丁酉,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
905,2019-06-24 09:00:00+08:00,28350,28605,28314,28567,5458938,HSI,^HSI,2632529445656607738,2025-06-03 12:25:11.232890+08:00,乙巳,壬辰,丁亥,庚子,乙酉,甲寅,己未,庚寅,乙巳,壬巳,丁酉,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
906,2019-06-24 11:00:00+08:00,28567,28573,28432,28477,9808765,HSI,^HSI,10116505931016533090,2025-06-03 12:25:11.232890+08:00,丙午,丁未,壬寅,辛丑,乙酉,甲寅,己未,庚寅,丙午,壬午,丁酉,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
