,time,Open,High,Low,Close,stock_code,ric_code,uuid,last_modified_date
1898,2019-11-29 13:00:00+08:00,26394,26424,26336,26376,HSI,^HSI,11025375439042368704,2025-06-04 01:47:50.689417+08:00
1899,2019-11-29 15:00:00+08:00,26377,26396,26323,26333,HSI,^HSI,8686564659862997859,2025-06-04 01:47:50.689417+08:00
1905,2019-12-02 09:00:00+08:00,26470,26576,26414,26482,HSI,^HSI,15252271348788182289,2025-06-04 01:47:50.689417+08:00
1906,2019-12-02 11:00:00+08:00,26481,26511,26479,26494,HSI,^HSI,6764392261090850696,2025-06-04 01:47:50.689417+08:00
1907,2019-12-02 13:00:00+08:00,26489,26497,26443,26485,HSI,^HSI,13545068788352105834,2025-06-04 01:47:50.689417+08:00
1908,2019-12-02 15:00:00+08:00,26484,26499,26447,26488,HSI,^HSI,2452586175124126677,2025-06-04 01:47:50.689417+08:00
1914,2019-12-03 09:00:00+08:00,26325,26422,26062,26348,HSI,^HSI,17462898724460715763,2025-06-04 01:47:50.689417+08:00
1915,2019-12-03 11:00:00+08:00,26346,26470,26338,26440,HSI,^HSI,9913585562574107378,2025-06-04 01:47:50.689417+08:00
1916,2019-12-03 13:00:00+08:00,26447,26447,26374,26409,HSI,^HSI,16519096963082313210,2025-06-04 01:47:50.689417+08:00
1917,2019-12-03 15:00:00+08:00,26409,26446,26381,26381,HSI,^HSI,13101916462553904253,2025-06-04 01:47:50.689417+08:00
1923,2019-12-04 09:00:00+08:00,26020,26205,25960,26096,HSI,^HSI,17812415326465641953,2025-06-04 01:47:50.689417+08:00
1924,2019-12-04 11:00:00+08:00,26096,26130,26051,26102,HSI,^HSI,18225931214740524389,2025-06-04 01:47:50.689417+08:00
1925,2019-12-04 13:00:00+08:00,26105,26153,26075,26123,HSI,^HSI,15474659764031748144,2025-06-04 01:47:50.689417+08:00
1926,2019-12-04 15:00:00+08:00,26124,26124,26042,26062,HSI,^HSI,17152349256466603698,2025-06-04 01:47:50.689417+08:00
1932,2019-12-05 09:00:00+08:00,26250,26327,26171,26174,HSI,^HSI,16281973990810493868,2025-06-04 01:47:50.689417+08:00
1933,2019-12-05 11:00:00+08:00,26173,26198,26127,26156,HSI,^HSI,6662313648837112060,2025-06-04 01:47:50.689417+08:00
1934,2019-12-05 13:00:00+08:00,26158,26217,26144,26209,HSI,^HSI,7431551921226782842,2025-06-04 01:47:50.689417+08:00
1935,2019-12-05 15:00:00+08:00,26209,26275,26197,26246,HSI,^HSI,15510513648203143690,2025-06-04 01:47:50.689417+08:00
